City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gubkinskiy,64.434,76.5026,-15.58,95,91,7.9,RU,1675914110
1,busselton,-33.65,115.3333,27.94,35,0,1.3,AU,1675914114
2,buchanan,5.8808,-10.0467,25.17,87,76,0.78,LR,1675914114
3,bluff,-46.6,168.3333,13.22,56,77,8.33,NZ,1675914114
4,ossora,59.2353,163.0719,-13.58,89,100,7.02,RU,1675914115
5,vaini,-21.2,-175.2,29.09,79,75,2.06,TO,1675914115
6,punta arenas,-53.15,-70.9167,9.06,71,0,3.6,CL,1675914010
7,rikitea,-23.1203,-134.9692,26.75,73,4,6.4,PF,1675914116
8,ponta do sol,32.6667,-17.1,14.84,74,44,3.04,PT,1675914116
9,tondano,1.3038,124.9112,26.05,53,98,1.57,ID,1675914117
10,albany,42.6001,-73.9662,0.15,80,81,1.23,US,1675914117
11,coihaique,-45.5752,-72.0662,17.97,63,0,1.54,CL,1675914118
12,vostok,46.4856,135.8833,-18.12,81,90,4.47,RU,1675914118
13,port elizabeth,-33.918,25.5701,20.73,93,75,1.03,ZA,1675914118
14,cidreira,-30.1811,-50.2056,24.49,83,24,8.46,BR,1675914027
15,ushuaia,-54.8,-68.3,9.81,87,20,4.12,AR,1675913889
16,nabha,30.3747,76.1486,17.46,37,56,0.93,IN,1675914119
17,chinsali,-10.5414,32.0816,14.83,97,98,1.24,ZM,1675914120
18,kruisfontein,-34.0033,24.7314,17.16,80,95,1.07,ZA,1675914120
19,mataura,-46.1927,168.8643,13.04,62,87,3.91,NZ,1675914120
20,gimli,50.6336,-96.9907,-0.99,93,100,9.77,CA,1675914121
21,teguise,29.0605,-13.564,10.12,82,0,3.6,ES,1675914121
22,casablanca,33.5928,-7.6192,11.01,85,20,3.36,MA,1675914122
23,barrow,71.2906,-156.7887,-20.99,77,100,0.0,US,1675914122
24,east london,-33.0153,27.9116,19.52,94,100,1.03,ZA,1675914123
25,leningradskiy,69.3833,178.4167,-27.68,97,100,2.55,RU,1675914124
26,atuona,-9.8,-139.0333,26.22,79,46,10.06,PF,1675914124
27,naze,28.3667,129.4833,17.51,69,100,7.75,JP,1675914125
28,jamestown,42.097,-79.2353,-0.2,92,0,2.57,US,1675914052
29,kamennogorsk,60.9545,29.1339,1.98,94,100,6.89,RU,1675914125
30,qaanaaq,77.484,-69.3632,-31.69,64,14,2.71,GL,1675914131
31,khatanga,71.9667,102.5,-42.68,99,64,1.71,RU,1675914131
32,hasaki,35.7333,140.8333,11.27,37,8,7.94,JP,1675914132
33,aripuana,-9.1667,-60.6333,22.51,98,77,0.3,BR,1675914132
34,coronon,6.8792,125.4489,29.96,75,90,3.55,PH,1675914133
35,goleta,36.8181,10.305,10.0,71,40,3.09,TN,1675914101
36,yellowknife,62.456,-114.3525,-21.36,84,75,4.12,CA,1675914134
37,muros,42.7762,-9.0603,7.13,85,0,4.33,ES,1675914134
38,tura,25.5198,90.2201,22.98,39,48,1.31,IN,1675914135
39,victoria,22.2855,114.1577,21.03,83,96,6.71,HK,1675914135
40,teahupoo,-17.8333,-149.2667,25.98,74,6,2.9,PF,1675914136
41,georgetown,5.4112,100.3354,28.96,83,20,3.09,MY,1675913940
42,harrow,51.5714,-0.3337,3.61,94,40,2.57,GB,1675914137
43,thanyaburi,14.0211,100.7343,32.21,75,40,3.6,TH,1675914137
44,mount gambier,-37.8333,140.7667,26.15,35,0,3.58,AU,1675914138
45,rockford,42.2711,-89.094,2.0,80,100,1.54,US,1675913944
46,norman wells,65.282,-126.8329,-24.98,77,75,0.0,CA,1675914139
47,saint george,37.1041,-113.5841,10.53,48,0,2.06,US,1675914044
48,tongliao,43.6125,122.2653,-2.34,34,100,4.19,CN,1675914139
49,kapaa,22.0752,-159.319,26.99,71,0,8.75,US,1675914140
50,muncar,-8.4333,114.3333,28.09,78,55,1.73,ID,1675914140
51,astana,51.1801,71.446,-23.03,84,100,4.0,KZ,1675914141
52,cururupu,-1.8283,-44.8683,23.16,96,99,0.82,BR,1675914141
53,ribeira grande,38.5167,-28.7,12.1,79,28,3.58,PT,1675914142
54,synya,65.3718,58.0387,-4.95,93,100,4.06,RU,1675914142
55,saint-philippe,-21.3585,55.7679,26.77,82,67,5.18,RE,1675914143
56,san rafael,-34.6177,-68.3301,25.82,37,35,2.35,AR,1675913944
57,provideniya,64.3833,-173.3,-19.94,65,100,5.0,RU,1675914143
58,verkhnevilyuysk,63.4453,120.3167,-37.61,95,79,1.14,RU,1675914144
59,srednekolymsk,67.45,153.6833,-32.88,96,100,2.89,RU,1675914144
60,midland,31.9974,-102.0779,10.27,36,0,3.09,US,1675914048
61,zhigansk,66.7697,123.3711,-40.4,95,100,4.56,RU,1675914146
62,saskylakh,71.9167,114.0833,-41.37,98,54,3.04,RU,1675914146
63,luau,-10.7073,22.2247,16.51,98,100,1.25,AO,1675914147
64,granadilla de abona,28.1188,-16.576,13.83,75,75,2.57,ES,1675914148
65,new norfolk,-42.7826,147.0587,21.62,42,98,0.45,AU,1675914148
66,broken hill,-31.95,141.4333,33.65,12,0,3.91,AU,1675914149
67,lata,40.1629,-8.3327,6.71,79,11,2.88,PT,1675914150
68,butaritari,3.0707,172.7902,27.42,82,65,9.15,KI,1675914150
69,douglas,41.3,-96.167,5.44,58,40,2.06,US,1675914112
70,port alfred,-33.5906,26.891,19.54,98,100,1.63,ZA,1675914023
71,hilo,19.7297,-155.09,24.85,69,75,4.63,US,1675914151
72,opuwo,-18.0607,13.84,17.66,42,51,1.66,NA,1675914151
73,hermanus,-34.4187,19.2345,19.89,83,76,5.1,ZA,1675914152
74,kuala sungai baru,2.3594,102.0353,28.02,86,100,1.87,MY,1675914153
75,kijang,35.2442,129.2139,11.85,52,86,6.26,KR,1675914006
76,cueto,20.6439,-75.9356,24.29,80,4,5.12,CU,1675914153
77,hithadhoo,-0.6,73.0833,27.54,72,77,4.35,MV,1675914154
78,rio grande,-32.035,-52.0986,24.52,81,89,8.13,BR,1675914154
79,hualmay,-11.0964,-77.6139,22.41,85,24,3.18,PE,1675914155
80,mahebourg,-20.4081,57.7,27.36,83,75,5.14,MU,1675914155
81,anadyr,64.75,177.4833,-33.72,66,0,5.0,RU,1675914156
82,america dourada,-11.4553,-41.4361,19.87,70,0,4.68,BR,1675914156
83,mattru,7.6244,-11.8332,24.03,86,86,0.61,SL,1675914156
84,thompson,55.7435,-97.8558,-12.91,72,100,5.66,CA,1675914157
85,drymen,56.0655,-4.452,4.87,80,28,6.74,GB,1675914157
86,jieshi,22.8134,115.8257,18.59,81,100,7.02,CN,1675914158
87,mar del plata,-38.0023,-57.5575,20.05,92,0,1.54,AR,1675914158
88,bathsheba,13.2167,-59.5167,25.34,78,40,8.75,BB,1675914159
89,hobart,-42.8794,147.3294,21.82,56,75,4.63,AU,1675914030
90,winnipeg,49.8844,-97.147,0.99,90,75,6.71,CA,1675913641
91,porbandar,21.6422,69.6093,18.99,55,24,1.03,IN,1675914160
92,caraballeda,10.6112,-66.8522,25.2,81,20,0.51,VE,1675914160
93,husavik,66.0449,-17.3389,-5.1,93,52,7.62,IS,1675914161
94,manicore,-5.8092,-61.3003,24.97,94,0,1.03,BR,1675914161
95,henties bay,-22.116,14.2845,17.8,88,89,2.23,NA,1675914161
96,bengkulu,-3.8004,102.2655,28.52,63,96,2.2,ID,1675914162
97,sobolevo,54.4299,31.8996,-9.25,98,88,2.2,RU,1675914162
98,enid,36.3956,-97.8784,2.82,97,100,6.17,US,1675914163
99,chokurdakh,70.6333,147.9167,-31.94,96,100,2.44,RU,1675914163
100,lebu,-37.6167,-73.65,14.75,95,5,4.59,CL,1675914164
101,kodiak,57.79,-152.4072,-4.27,36,0,3.09,US,1675914164
102,hamburg,53.55,10.0,-2.44,82,0,3.09,DE,1675913903
103,iqaluit,63.7506,-68.5145,-33.15,68,0,11.83,CA,1675914165
104,nikolskoye,59.7035,30.7861,1.94,93,100,4.63,RU,1675914165
105,broome,42.2506,-75.833,3.21,67,0,2.57,US,1675914166
106,bredasdorp,-34.5322,20.0403,18.06,83,1,3.91,ZA,1675914166
107,nouadhibou,20.931,-17.0347,16.99,63,100,3.09,MR,1675914166
108,bethel,41.3712,-73.414,4.89,61,0,2.57,US,1675914167
109,saldanha,-33.0117,17.9442,18.46,79,20,3.57,ZA,1675914167
110,codrington,-38.2667,141.9667,21.29,59,2,5.16,AU,1675914168
111,nome,64.5011,-165.4064,-17.96,78,100,3.09,US,1675913989
112,mecca,21.4267,39.8261,17.74,41,55,2.12,SA,1675914168
113,cabo san lucas,22.8909,-109.9124,20.17,39,0,2.06,MX,1675914169
114,parrita,9.5201,-84.3225,24.84,76,10,1.41,CR,1675914170
115,yangambi,0.8102,24.4336,19.12,92,39,1.24,CD,1675914170
116,lumberton,34.6182,-79.0086,14.0,87,0,0.0,US,1675914170
117,nampula,-15.1165,39.2666,20.7,97,97,1.73,MZ,1675914171
118,yar-sale,66.8333,70.8333,-12.92,96,94,4.72,RU,1675914171
119,karratha,-20.7377,116.8463,34.69,46,0,5.38,AU,1675914172
120,alice town,25.7167,-79.3,23.69,69,2,8.96,BS,1675914172
121,krutinka,56.0055,71.5113,-17.39,94,100,4.89,RU,1675914173
122,sao joao da barra,-21.6403,-41.0511,22.8,92,100,3.83,BR,1675914173
123,beringovskiy,63.05,179.3167,-31.46,93,22,2.37,RU,1675914173
124,cape town,-33.9258,18.4232,21.32,71,0,2.57,ZA,1675914174
125,kaniama,-7.5667,24.1833,18.18,95,100,1.04,CD,1675914174
126,nyurba,63.2842,118.3319,-36.5,95,72,0.83,RU,1675914175
127,lorengau,-2.0226,147.2712,28.72,67,100,4.53,PG,1675914175
128,hambantota,6.1241,81.1185,28.19,78,20,4.12,LK,1675914176
129,vila,42.0304,-8.1588,1.49,81,0,1.89,PT,1675914176
130,saint-louis,16.3333,-15.0,20.8,16,100,4.58,SN,1675914176
